frame_index,source,detections,latency_ms,inference_fps
0,husky_000.jpg,2,136.7443170020124,7.312918166721938
1,husky_003.jpg,5,46.954806995927356,21.29707401601577
2,husky_004.jpg,4,46.00272800598759,21.73784128345264
3,husky_011.jpg,2,48.524439000175335,20.60817230666771
4,husky_013.jpg,2,63.96427899016999,15.633725819901445
5,husky_014.jpg,3,51.44898800062947,19.43672827904341
6,husky_017.jpg,2,46.44514400570188,21.53077617494811
7,husky_025.jpg,5,55.66652900597546,17.96411628058678
8,husky_027.jpg,4,46.30626199650578,21.59535140356306
9,husky_028.jpg,3,193.0976090079639,5.178728028469566
10,husky_029.jpg,4,48.496303003048524,20.620128506231477
11,husky_031.jpg,2,46.38903000159189,21.556820652763896
12,husky_035.jpg,2,46.80747499514837,21.36410904676338
13,husky_053.jpg,4,45.53039600432385,21.963349493051496
14,husky_054.jpg,4,48.02929000288714,20.820628411119298
15,husky_057.jpg,2,47.265607994631864,21.15703240532892
16,husky_064.jpg,4,47.0272499951534,21.264266996327862
17,husky_069.jpg,2,51.916329000960104,19.261762517559873
18,husky_071.jpg,2,45.68003400345333,21.89140226831709
19,husky_075.jpg,5,46.07117100385949,21.7055477039259
20,husky_077.jpg,3,63.50478599779308,15.74684465568866
21,husky_081.jpg,2,49.44703899673186,20.223657883055317
22,husky_084.jpg,3,44.505216006655246,22.469276406847715
23,husky_086.jpg,2,45.16715501085855,22.139982023653957
24,husky_088.jpg,4,45.937818998936564,21.768556317903325
25,husky_089.jpg,2,44.896128005348146,22.273635710430916
26,husky_093.jpg,2,45.76724699290935,21.849686527025067
27,husky_094.jpg,2,44.659782011876814,22.39151099604696
28,husky_095.jpg,2,65.14065299415961,15.351396616943005
29,husky_097.jpg,2,49.41182499169372,20.23807054623267
