epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13489,1.77696,3.57742,2.08211,0.83231,0.76667,0.74955,0.44738,1.08402,4.44318,1.48535,4e-05,4e-05,0.09204
2,4.60256,1.5226,1.69431,1.78831,0.84199,0.76667,0.83128,0.32324,1.73971,2.90196,1.84822,8.41585e-05,8.41585e-05,0.0830842
3,5.96616,1.52067,1.40326,1.77888,0.812,0.8,0.84438,0.42496,1.38713,2.47461,1.64865,0.000127426,0.000127426,0.0741274
4,7.33319,1.46274,1.24505,1.78042,0.79867,0.81667,0.83433,0.45476,1.2554,2.3417,1.56281,0.000169802,0.000169802,0.0651698
5,8.73113,1.42567,1.22198,1.71502,0.84496,0.8,0.87081,0.43327,1.48667,2.05937,1.65803,0.000211288,0.000211288,0.0562113
6,10.2152,1.46432,1.22389,1.77393,0.77062,0.85,0.87807,0.45006,1.44331,2.44587,1.67166,0.000251883,0.000251883,0.0472519
7,11.5726,1.3248,1.09523,1.64783,0.83993,0.87464,0.88227,0.47058,1.38971,1.83667,1.66887,0.000291586,0.000291586,0.0382916
8,12.9737,1.43492,1.22645,1.73393,0.83176,0.90646,0.87688,0.4801,1.53205,1.25648,1.76425,0.000330399,0.000330399,0.0293304
9,14.3441,1.49672,1.22551,1.78322,0.83795,0.9,0.85256,0.44221,1.64267,1.37387,1.86322,0.00036832,0.00036832,0.0203683
10,15.6818,1.35191,1.0702,1.6413,0.8569,0.89823,0.87848,0.45692,1.68494,1.28426,1.90047,0.000405351,0.000405351,0.0114054
11,17.0323,1.37335,1.11272,1.69507,0.8864,0.91038,0.90763,0.50526,1.55588,1.0559,1.84153,0.00044149,0.00044149,0.00244149
12,18.4191,1.29423,1.023,1.58645,0.89558,0.9,0.90988,0.49679,1.51625,1.22182,1.80307,0.00044555,0.00044555,0.00044555
13,19.7766,1.34068,1.0759,1.63649,0.91649,0.91463,0.93882,0.51925,1.44738,1.18643,1.75083,0.0004406,0.0004406,0.0004406
14,21.1696,1.36381,1.08549,1.66799,0.91736,0.9,0.92904,0.52606,1.46969,0.96149,1.7524,0.00043565,0.00043565,0.00043565
15,22.5491,1.36533,1.06534,1.65332,0.88844,0.91667,0.91948,0.53466,1.43884,0.88953,1.72093,0.0004307,0.0004307,0.0004307
16,23.9021,1.30002,1.06736,1.61123,0.87067,0.86667,0.92311,0.53728,1.41936,0.97013,1.70593,0.00042575,0.00042575,0.00042575
17,25.244,1.35455,1.06959,1.64572,0.86016,0.92269,0.93916,0.54762,1.41211,1.14913,1.70041,0.0004208,0.0004208,0.0004208
18,26.6053,1.28671,1.03581,1.58726,0.88496,0.93333,0.92562,0.52947,1.45078,1.08803,1.71499,0.00041585,0.00041585,0.00041585
19,28.0772,1.28839,1.01901,1.5867,0.87053,0.89654,0.89568,0.45405,1.67176,0.96495,1.83417,0.0004109,0.0004109,0.0004109
20,29.4448,1.25807,0.9933,1.56681,0.87026,0.89442,0.89577,0.45161,1.66616,0.99979,1.85983,0.00040595,0.00040595,0.00040595
21,30.8089,1.35919,1.05603,1.66186,0.88191,0.87135,0.90418,0.47379,1.61211,1.04118,1.86358,0.000401,0.000401,0.000401
22,32.1719,1.27699,1.01583,1.60336,0.88372,0.9,0.90543,0.48195,1.57637,1.08599,1.85315,0.00039605,0.00039605,0.00039605
23,33.4985,1.24898,0.93842,1.588,0.89181,0.88333,0.90972,0.47076,1.61764,1.07087,1.88841,0.0003911,0.0003911,0.0003911
24,34.8465,1.32632,1.03135,1.63895,0.90385,0.94015,0.93912,0.46318,1.628,0.96497,1.89713,0.00038615,0.00038615,0.00038615
25,36.2167,1.24586,0.97743,1.53275,0.88985,0.93333,0.94156,0.48026,1.59763,0.90013,1.85724,0.0003812,0.0003812,0.0003812
26,37.5646,1.22824,0.97179,1.53776,0.91194,0.93333,0.93024,0.51736,1.45697,0.861,1.73898,0.00037625,0.00037625,0.00037625
27,38.9073,1.16865,0.93052,1.50304,0.92359,0.91667,0.95057,0.55743,1.33354,0.81906,1.63589,0.0003713,0.0003713,0.0003713
28,40.2866,1.19903,0.91406,1.48209,0.8997,0.91667,0.94125,0.56464,1.3562,0.85202,1.64042,0.00036635,0.00036635,0.00036635
29,41.671,1.32154,1.07889,1.65231,0.94735,0.89964,0.94574,0.53631,1.42399,0.88836,1.67366,0.0003614,0.0003614,0.0003614
30,43.0171,1.22005,0.94432,1.52795,0.94604,0.87673,0.94345,0.49675,1.50833,0.88443,1.73613,0.00035645,0.00035645,0.00035645
31,44.3651,1.23533,0.97127,1.55426,0.86557,0.9,0.91208,0.48802,1.55756,0.88838,1.78166,0.0003515,0.0003515,0.0003515
32,45.6836,1.18066,0.91126,1.4923,0.8542,0.9,0.91671,0.49364,1.57079,0.86995,1.80483,0.00034655,0.00034655,0.00034655
33,47.0319,1.20768,0.94706,1.53282,0.93161,0.90821,0.94323,0.5025,1.5219,0.84523,1.76493,0.0003416,0.0003416,0.0003416
34,48.3561,1.15004,0.88785,1.48321,0.91574,0.90568,0.93789,0.5295,1.45139,0.83191,1.71335,0.00033665,0.00033665,0.00033665
35,49.6861,1.26147,0.96219,1.54657,0.9012,0.9,0.93368,0.53932,1.42913,0.84257,1.7004,0.0003317,0.0003317,0.0003317
36,51.0413,1.17089,0.84917,1.47144,0.90373,0.93881,0.94021,0.52942,1.46086,0.84157,1.7186,0.00032675,0.00032675,0.00032675
37,52.3762,1.17329,0.89395,1.51103,0.88515,0.89915,0.91422,0.51476,1.54556,0.84844,1.79017,0.0003218,0.0003218,0.0003218
38,53.7329,1.20473,0.93283,1.53275,0.88075,0.9,0.91965,0.50448,1.55064,0.82308,1.80456,0.00031685,0.00031685,0.00031685
39,55.0954,1.16702,0.93252,1.47871,0.89717,0.91667,0.94544,0.52638,1.51042,0.80449,1.78874,0.0003119,0.0003119,0.0003119
40,56.4625,1.14655,0.91329,1.48008,0.91628,0.91206,0.9402,0.54578,1.44217,0.79651,1.75014,0.00030695,0.00030695,0.00030695
41,57.784,1.1716,0.89587,1.51387,0.93056,0.89344,0.93782,0.55184,1.40972,0.78018,1.74327,0.000302,0.000302,0.000302
42,59.1354,1.14814,0.87933,1.4377,0.91395,0.88333,0.9462,0.56007,1.40859,0.78444,1.7522,0.00029705,0.00029705,0.00029705
43,60.4773,1.02756,0.80439,1.37634,0.92479,0.9,0.95575,0.55809,1.3752,0.81567,1.74057,0.0002921,0.0002921,0.0002921
44,61.7952,1.25465,0.99411,1.55672,0.93015,0.88783,0.96307,0.56329,1.38121,0.83153,1.74194,0.00028715,0.00028715,0.00028715
45,63.146,1.10811,0.87972,1.44266,0.94684,0.88333,0.95943,0.56082,1.42664,0.82134,1.76986,0.0002822,0.0002822,0.0002822
46,64.4841,1.12189,0.89272,1.46217,0.93178,0.91065,0.94403,0.54231,1.48505,0.82753,1.81441,0.00027725,0.00027725,0.00027725
47,65.8541,1.15069,0.91968,1.49477,0.94539,0.9,0.9429,0.52287,1.51588,0.83061,1.83235,0.0002723,0.0002723,0.0002723
48,67.2048,1.05375,0.84059,1.38422,0.97364,0.9,0.94194,0.48765,1.519,0.83972,1.84278,0.00026735,0.00026735,0.00026735
49,68.5296,1.13617,0.9492,1.49786,0.9744,0.9,0.9428,0.49674,1.51372,0.82956,1.84486,0.0002624,0.0002624,0.0002624
50,69.8813,1.2004,0.9444,1.55215,0.93139,0.905,0.94503,0.51659,1.50447,0.79797,1.84443,0.00025745,0.00025745,0.00025745
51,71.2594,1.11333,0.86308,1.45516,0.94885,0.92758,0.95636,0.53175,1.45503,0.76296,1.81137,0.0002525,0.0002525,0.0002525
52,72.6075,1.14118,0.85167,1.47299,0.93277,0.93333,0.9637,0.53355,1.42357,0.75775,1.78837,0.00024755,0.00024755,0.00024755
53,73.95,1.08556,0.83662,1.41284,0.92994,0.93333,0.96422,0.52912,1.42605,0.73923,1.79143,0.0002426,0.0002426,0.0002426
54,75.28,1.16873,0.86935,1.47384,0.90412,0.94304,0.96329,0.53141,1.42582,0.72958,1.78726,0.00023765,0.00023765,0.00023765
55,76.6054,1.06307,0.877,1.43531,0.89404,0.95,0.96462,0.53642,1.4284,0.7164,1.78429,0.0002327,0.0002327,0.0002327
56,77.9529,1.06314,0.82929,1.41999,0.91159,0.95,0.96052,0.5401,1.42184,0.72473,1.77245,0.00022775,0.00022775,0.00022775
57,79.2951,1.05707,0.81848,1.38142,0.94791,0.90987,0.9717,0.55851,1.41982,0.71545,1.77249,0.0002228,0.0002228,0.0002228
58,80.6559,1.07187,0.8094,1.41401,0.90014,0.93333,0.96806,0.5625,1.41421,0.71229,1.77052,0.00021785,0.00021785,0.00021785
59,82.0945,1.03413,0.82221,1.40635,0.94834,0.9,0.9701,0.56286,1.41766,0.70962,1.78723,0.0002129,0.0002129,0.0002129
60,83.4592,1.00907,0.79528,1.3605,0.96462,0.90897,0.97006,0.56872,1.42586,0.70973,1.79513,0.00020795,0.00020795,0.00020795
61,85.048,1.0383,0.78629,1.39964,0.93871,0.93333,0.97058,0.57029,1.45111,0.73236,1.8243,0.000203,0.000203,0.000203
62,86.4281,1.08614,0.86384,1.42162,0.92787,0.95,0.96992,0.55144,1.47244,0.73524,1.84952,0.00019805,0.00019805,0.00019805
63,87.767,1.03572,0.79519,1.38817,0.93424,0.94716,0.96599,0.56154,1.4706,0.72929,1.8527,0.0001931,0.0001931,0.0001931
